imdb_title,imdb_rank_toptv,imdb_series_type,imdb_ongoing,imdb_year_start,imdb_year_end,trakt_rating_imdb,trakt_vote_count_imdb,trakt_full_runtime_min,trakt_avg_ep_runtime_min,trakt_networks,trakt_country_of_origin,trakt_genres,trakt_studios,trakt_creators,trakt_num_of_episodes,trakt_num_of_seasons,trakt_series_regulars,trakt_guest_stars,wiki_created_by,wiki_written_by,wiki_executive_producers,wiki_producers,wiki_cinematography,wiki_editors
Breaking Bad,1,TV Series,No,2008,2013,9.5,"2,400,000","2,995",49,['AMC'],United States,"['Drama', 'Crime', 'Thriller']","['Sony Pictures Television', 'High Bridge Entertainment', 'Gran Via Productions']",Vince Gilligan,62,5,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'RJ Mitte', 'Dean Norris', 'Betsy Brandt', 'Bob Odenkirk', 'Jonathan Banks', 'Giancarlo Esposito']","['Steven Michael Quezada', 'Charles Baker', 'Bob Odenkirk', 'Matt Jones', 'Christopher Cousins', 'Michael Shamus Wiles', 'Lavell Crawford', 'Jesse Plemons', 'Ray Campbell', 'Tina Parker', 'Carmen Serano', 'Emily Rios', 'Krysten Ritter', 'Laura Fraser', 'Mark Margolis']",['Vince Gilligan'],N.A.,"['Vince Gilligan', 'Mark Johnson', 'Michelle MacLaren']","['Stewart A. Lyons', 'Sam Catlin', 'John Shiban', 'Peter Gould', 'George Mastras', 'Thomas Schnauz', 'Melissa Bernstein', 'Diane Mercer', 'Bryan Cranston', 'Moira Walley-Beckett', 'Karen Moore', 'Patty Lin']","['Michael Slovis', 'Reynaldo Villalobos', 'Arthur Albert', 'John Toll', 'Nelson Cragg', 'Marshall Adams']","['Kelley Dixon', 'Skip Macdonald', 'Chris McCaleb', 'Sharidan Williams-Sotelo', 'Lynne Willingham']"
Planet Earth II,2,TV Mini Series,No,2016,2016,9.4,"167,000",300,298,['BBC One'],United Kingdom,"['Documentary', 'Family']","['BBC Natural History Unit', 'ZDF', 'France Télévisions', 'BBC America', 'Tencent']",N.A.,6,1,['David Attenborough'],[],N.A.,N.A.,"['Vanessa Berlowitz', 'Mike Gunton', 'James Brickell', 'Tom Hugh-Jones']",N.A.,N.A.,N.A.
Planet Earth,3,TV Mini Series,No,2006,2006,9.4,"228,000",560,42,['BBC One'],United Kingdom,['Documentary'],"['BBC', 'NHK', 'Discovery Channel']",N.A.,11,1,['David Attenborough'],[],N.A.,N.A.,N.A.,['Alastair Fothergill'],['Doug Allan'],['Martin Elsbury Andy Netley']
Band of Brothers,4,TV Mini Series,No,2001,2001,9.4,"568,000",622,60,['HBO'],United States,"['Drama', 'War']","['HBO Films', 'DreamWorks Television', 'DreamWorks Pictures', 'BBC Television Centre', 'Playtone']",N.A.,10,1,"['Damian Lewis', 'Donnie Wahlberg', 'Ron Livingston', 'Michael Cudlitz', 'Scott Grimes', 'Shane Taylor', 'Ross McCall', 'Dexter Fletcher', 'James Madio', 'Rick Gomez', 'Peter Youngblood Hills', 'Nicholas Aaron', 'Matthew Leitch']","['Philip Barantini', 'Robin Laing', 'George Calil', 'Doug Allen', 'Neal McDonough', 'Nolan Hemmings', 'Rick Warden', 'Dale Dye', 'Douglas Spain', 'Frank John Hughes', 'Michael Fassbender', 'Richard Speight Jr.', 'Craig Heaney', 'Peter McCabe', 'Kirk Acevedo']","['Tom Hanks', 'Steven Spielberg']","['Erik Jendresen', 'Tom Hanks', 'John Orloff', 'E. Max Frye', 'Graham Yost', 'Bruce C. McKenna', 'Erik Bork']","['Steven Spielberg', 'Tom Hanks']","['Gary Goetzman', 'Tony To', 'Erik Bork', 'Erik Jendresen', 'Stephen E. Ambrose', 'Mary Richards']","['Remi Adefarasin', 'Joel J. Ransom']","['Billy Fox', 'Oral Norrie Ottey', 'Frances Parker', 'John Richards']"
Chernobyl,5,TV Mini Series,No,2019,2019,9.3,"962,000",331,66,['HBO'],United States,['Drama'],"['Sister Pictures', 'The Mighty Mint', 'Word Games']",Craig Mazin,5,1,"['Jared Harris', 'Stellan Skarsgård', 'Emily Watson', 'Paul Ritter', 'Jessie Buckley', 'Adam Nagaitis', 'Sam Troughton', 'Robert Emms', ""Con O'Neill"", 'Adrian Rawlins', 'Alan Williams', 'David Dencik', 'Mark Lewis Jones', 'Ralph Ineson', 'Barry Keoghan', 'Alex Ferns', 'Fares Fares', 'Michael McElhatton']","['Laura Elphinstone', 'Michael Socha', 'Karl Davies', 'Jan Ričica', 'Nadia Clifford', 'Ron Cook', 'Donald Sumpter', 'Philip Barantini', 'Oscar Dyekjær Giese', 'Baltasar Breki Samper', 'Gerard Kearns', 'Povilas Jatkevičius', 'Darius Petkevičius', 'Amanda Drew', 'Jamie Sives']",['Craig Mazin'],['Craig Mazin'],"['Craig Mazin', 'Carolyn Strauss', 'Jane Featherstone']",['Sanne Wohlenberg'],['Jakob Ihre'],"['Jinx Godfrey', 'Simon Smith']"
The Wire,6,TV Series,No,2002,2008,9.3,"405,000","3,598",60,['HBO'],United States,"['Drama', 'Crime']","['Blown Deadline Productions', 'HBO']",David Simon,60,5,"['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce', 'Deirdre Lovejoy', 'John Doman', 'Andre Royo', 'Frankie Faison', 'Wood Harris', 'Idris Elba', 'Clarke Peters', 'Michael Kenneth Williams', 'J.D. Williams', 'Aidan Gillen', 'Seth Gilliam', 'Domenick Lombardozzi', 'Corey Parker Robinson', 'Jim True-Frost', 'Robert Wisdom', 'Jamie Hector', 'Reg E. Cathey', 'Lawrence Gilliard Jr.', 'Glynn Turman', 'Chad L. Coleman', 'Paul Ben-Victor', 'Amy Ryan', 'Chris Bauer', 'Isiah Whitlock, Jr.', 'Michael Kostroff', 'Clark Johnson', 'Tom McCarthy', 'Gbenga Akinnagbe', 'Neal Huff', 'Jermaine Crawford', 'Tristan Mack Wilds', 'Michelle Paress']","['Delaney Williams', 'Domenick Lombardozzi', 'Jim True-Frost', 'Seth Gilliam', 'Tray Chaney', 'J.D. Williams', 'Gbenga Akinnagbe', 'Felicia Pearson', 'Isiah Whitlock, Jr.', 'Michael Kenneth Williams', 'Melanie Nicholls-King', 'Michael Salconi', 'Michael Kostroff', 'Leo Fitzpatrick', 'Hassan Johnson']",['David Simon'],N.A.,"['David Simon', 'Robert F. Colesberry', 'Nina Kostroff Noble']","['Karen L. Thorson', 'Ed Burns', 'Joe Chappelle', 'George Pelecanos', 'Eric Overmyer']",N.A.,N.A.
Avatar: The Last Airbender,7,TV Series,No,2005,2008,9.3,"412,000","1,496",24,['Nickelodeon'],United States,"['Action', 'Adventure', 'Fantasy', 'Animation']","['Nickelodeon Animation Studio', 'JM Animation', 'DR Movie', 'Moi Animation', 'Nickelodeon Productions']",Bryan Konietzko,61,3,"['Zach Tyler Eisen', 'Mae Whitman', 'Jack De Sena', 'Dante Basco', 'Dee Bradley Baker', 'Jessie Flower', 'Mako']","['Grey DeLisle', 'Cricket Leigh', 'André Sogliuzzo', 'Olivia Hack', 'Jim Meskimen', 'Mark Hamill', 'Jennie Kwan', 'Greg Baldwin', 'Dee Bradley Baker', 'James Garrett', 'Scott Menville', 'Jason Isaacs', 'James Sie', 'Kevin Michael Richardson', 'Zachary Throne']","['Michael Dante DiMartino', 'Bryan Konietzko']",N.A.,"['Michael Dante DiMartino', 'Bryan Konietzko', 'Aaron Ehasz']",N.A.,N.A.,N.A.
The Sopranos,8,TV Series,No,1999,2007,9.2,"535,000","4,656",55,['HBO'],United States,"['Drama', 'Crime']",['HBO'],David Chase,86,6,"['James Gandolfini', 'Edie Falco', 'Jamie-Lynn Sigler', 'Robert Iler', 'Lorraine Bracco', 'Michael Imperioli', 'Steven Van Zandt', 'Tony Sirico', 'Dominic Chianese', 'Aida Turturro', 'Drea de Matteo', 'Steve Schirripa', 'Nancy Marchand', 'Vincent Pastore', 'Federico Castelluccio']","['Dan Grimaldi', 'Joseph R. Gannascoli', 'John Ventimiglia', 'Sharon Angela', 'Vincent Curatola', 'Frank Vincent', 'Arthur J. Nascarella', 'Max Casella', 'Maureen Van Zandt', 'Jerry Adler', 'Matt Servitto', 'Carl Capotorto', 'Robert Funaro', 'Tom Aldredge', 'Suzanne Shepherd']",['David Chase'],N.A.,"['David Chase', 'Brad Grey', 'Robin Green', 'Mitchell Burgess', 'Ilene S. Landress', 'Terence Winter', 'Matthew Weiner']",N.A.,"['Alik Sakharov', 'Phil Abraham']","['Sidney Wolinsky', 'William B. Stich', 'Conrad M. Gonzalez']"
Blue Planet II,9,TV Mini Series,No,2017,2017,9.3,"52,700",368,60,['BBC One'],United Kingdom,"['Documentary', 'Family']","['BBC Natural History Unit', 'BBC America', 'Tencent', 'Westdeutscher Rundfunk', 'France Télévisions', 'CCTV']",N.A.,7,1,['David Attenborough'],[],N.A.,N.A.,"['James Honeyborne', 'Mark Brownlow']","['Miles Barton', 'Orla Doherty', 'Kathryn Jeffs', 'Will Ridgeon', 'John Ruthven', 'Jonathan Smith']",N.A.,N.A.
Cosmos: A Spacetime Odyssey,10,TV Mini Series,No,2014,2014,9.2,"134,000","1,137",60,"['FOX', 'National Geographic']",United States,['Documentary'],"['Fuzzy Door Productions', 'Cosmos Studios']",Ann Druyan,26,2,"['Neil deGrasse Tyson', 'Ann Druyan']","['Carl Sagan', 'Seth MacFarlane', 'Neil deGrasse Tyson', 'Brannon Braga', 'Sasha Sagan', 'Stoney Emshwiller', 'Piotr Michael', 'André Sogliuzzo', 'Christopher Emerson', 'Keythe Farley', 'Enn Reitel', 'Patrick Stewart', 'Elizardo Torrez', 'Trang Vo', 'John Steven Rocha']",N.A.,"['Ann Druyan', 'Brannon Braga']","['Seth MacFarlane', 'Ann Druyan', 'Brannon Braga', 'Jason Clark']","['Kara Vallow', 'Joseph Micucci']",['Karl Walter Lindenlaub'],N.A.
Cosmos,11,TV Mini Series,No,1980,1980,9.3,"48,200",780,60,['PBS'],United States,['Documentary'],"['KCET', 'Carl Sagan Productions']",Carl Sagan,13,1,['Carl Sagan'],[],"['Carl Sagan', 'Ann Druyan', 'Steven Soter']",N.A.,N.A.,"['Gregory Andorfer', 'Rob McCain']",N.A.,N.A.
Our Planet,12,TV Series,No,2019,2023,9.2,"56,600",601,50,['Netflix'],United Kingdom,"['Documentary', 'Action', 'Adventure']","['Silverback Films', 'WWF-UK']",N.A.,12,2,['David Attenborough'],[],N.A.,N.A.,"['Alastair Fothergill', 'Keith Scholey', 'Colin Butfield']",N.A.,N.A.,N.A.
